id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6983,Copenhagen 'N Livin',16774,Simon,,Nrrebro,55.68641,12.54741,Entire home/apt,898,3,172,2022-06-21,1.08,1,0,4,
26057,Lovely house - most attractive area,109777,Kari,,Indre By,55.69307,12.57649,Entire home/apt,2600,4,59,2022-08-09,0.55,1,303,8,
26473,City Centre Townhouse Sleeps 1-10 persons,112210,Julia,,Indre By,55.67602,12.5754,Entire home/apt,3250,3,300,2022-09-10,2.06,3,56,7,
29118,Best Location in Cool Istedgade,125230,Nana,,Vesterbro-Kongens Enghave,55.67023,12.55504,Entire home/apt,725,7,24,2022-08-04,0.16,1,59,2,
31094,"Beautiful, spacious, central, renovated Penthouse",129976,Ebbe,,Vesterbro-Kongens Enghave,55.66660169999999,12.5552831,Entire home/apt,1954,3,19,2022-08-22,0.13,1,0,2,
32379,"165 m2  artist flat on Vesterbro, with 2 bathrooms",140105,Lise,,Vesterbro-Kongens Enghave,55.672638,12.552493,Entire home/apt,1280,3,80,2022-08-13,0.54,2,60,5,
32841,Cozy flat for Adults/Quiet for kids,142143,Anders & Maria,,sterbro,55.71176,12.57091,Entire home/apt,617,100,7,2016-09-15,0.05,1,281,0,
33680,Best location on Vesterbro/Cph,145671,Mette,,Vesterbro-Kongens Enghave,55.66631,12.54555,Entire home/apt,1000,6,71,2019-03-14,0.48,1,312,0,
37159,Unique space on greatest location,160390,Jeanette,,Indre By,55.68547,12.56543,Entire home/apt,2916,5,11,2017-08-22,0.07,1,0,0,
38499,0 min. from everything in Cph.,122489,Christina,,Indre By,55.684288024902344,12.573019027709961,Entire home/apt,1900,14,15,2022-09-17,0.10,1,87,6,
39055,Stylish Flat in Central Copenhagen,167511,Rikke,,Amager Vest,55.66507,12.58315,Entire home/apt,2000,2,94,2022-09-04,0.64,1,262,17,
55465,Cosy and Central  - Apartment,261977,Morten,,Frederiksberg,55.68127,12.55389,Entire home/apt,535,35,79,2022-08-28,0.55,1,127,4,
69440,Clean room in peacefull part of Cph,194944,Anne,,Frederiksberg,55.68493,12.53434,Private room,465,3,57,2022-05-30,0.40,1,0,9,
71168,beautiful penthouse with rooftop,141625,Pernille & Frederik,,Frederiksberg,55.67806,12.55044,Entire home/apt,2302,2,10,2022-08-10,0.09,1,9,3,
78381,IN THE HEART OF CPH,420914,Cathrine,,Indre By,55.68384,12.56687,Entire home/apt,1406,4,134,2022-09-04,0.97,1,326,25,
112292,Copenhagen Exclusive,573172,Christoffer,,Frederiksberg,55.68068,12.54581,Entire home/apt,1487,6,34,2022-08-08,0.25,1,50,4,
113508,Penthouse by the lakes - Copenhagen,577366,Ronnie,,Frederiksberg,55.67757,12.55608,Entire home/apt,2057,3,24,2022-09-20,0.18,1,139,14,
118649,Charming Center of Copenhagen,599145,Iben Ammentorp,,Indre By,55.68313,12.56225,Entire home/apt,1406,2,50,2022-08-21,0.36,1,0,7,
118971,Child friendly in central neighbourhood.,600859,Jonas,,Nrrebro,55.69134,12.55701,Entire home/apt,1800,3,28,2022-09-20,0.21,1,340,3,
119322,"Urban, cultural & child-friendly",602647,Michael,,Nrrebro,55.68828,12.56401,Entire home/apt,1339,3,14,2019-11-25,0.10,1,287,0,
130253,Lovely big room in Copenhagen Ø,641583,Mathilde,,sterbro,55.70673,12.58533,Private room,1918,1,22,2014-09-30,0.16,2,365,0,
135777,Boheme,665428,Sofie,,Nrrebro,55.69223,12.54212,Entire home/apt,744,5,6,2016-02-15,0.05,1,0,0,
142599,Lovely room in central Copenhagen,692479,Gunhild B.,,Vesterbro-Kongens Enghave,55.66593,12.54435,Private room,500,2,95,2019-08-11,0.69,1,24,0,
143230,Family home by Christianshavn Canal,695079,Ilang & Marika,,Indre By,55.67367,12.59132,Entire home/apt,1846,2,100,2022-08-05,0.79,1,80,14,
154529,Beautiful Frederiksberg,743327,Cecilie,,Frederiksberg,55.68701,12.53348,Entire home/apt,700,6,10,2020-02-09,0.19,1,301,0,
157093,Rooftop app. in cozy nørrebro area,754626,Sigrid,,Nrrebro,55.68963,12.54277,Entire home/apt,968,3,36,2020-01-01,0.36,1,0,0,
158241,Cozy apartment i Copenhagen,759451,Martin Grønberg,,Vesterbro-Kongens Enghave,55.66394,12.54798,Entire home/apt,1029,3,46,2020-08-30,0.61,1,207,0,
